mechanism,missing_frac,seed,method,nrmse,nrmse_refnorm
mcar,0.3,99,softimpute,0.9042468962315556,0.8181251480955735
mcar,0.3,555,knn_k10,0.9695599383150512,0.9249374195367136
mcar,0.3,555,knn_k5,0.9692268014820474,0.9560357109246368
mcar,0.3,555,softimpute,0.9285151655406114,0.8126474800868251
mcar,0.3,31337,knn_k10,0.976043316829313,0.930672993370187
mcar,0.3,31337,knn_k5,0.986714939608647,0.9421304788115514
mcar,0.3,31337,softimpute,0.8993416950820974,0.8059734171805861
mcar,0.35,123,knn_k10,1.0054064832344412,1.0605702625601792
mcar,0.35,123,knn_k5,1.0166045470807878,1.082065194451889
mcar,0.35,123,softimpute,0.8707037844539123,0.8871992488941753
mcar,0.35,456,knn_k10,0.998529040127726,1.0162419838048224
mcar,0.35,456,knn_k5,1.0159058833439794,1.0317675904618824
mcar,0.35,456,softimpute,0.9197475633151124,0.8545936814259149
mcar,0.35,789,knn_k10,1.0171218061055465,1.0528699949257363
mcar,0.35,789,knn_k5,1.0345746311231396,1.069785955231348
mcar,0.35,789,softimpute,0.893046352093116,0.8876583267856988
mcar,0.35,1024,knn_k10,1.0184820685412936,1.096228136013207
mcar,0.35,1024,knn_k5,1.031745302122741,1.1115578671429789
mcar,0.35,1024,softimpute,0.8714535222057651,0.8448699221777706
mcar,0.35,1337,knn_k10,0.9776501039039632,0.9108495186338212
mcar,0.35,1337,knn_k5,1.0003051635312672,0.9298030463854272
mcar,0.35,1337,softimpute,0.905349611498631,0.826945158454995
mcar,0.35,2024,knn_k10,0.9971893063330032,1.0521630708267675
mcar,0.35,2024,knn_k5,1.0053419760408515,1.0707856597306449
mcar,0.35,2024,softimpute,0.8762187208794956,0.8989094196259364
mcar,0.35,7,knn_k10,0.9975970272868172,0.9656670524997282
mcar,0.35,7,knn_k5,1.006541992532735,0.978847591892041
mcar,0.35,7,softimpute,0.8843172985555567,0.8264549796433298
mcar,0.35,99,knn_k10,0.9984651867623062,1.0285621255744877
mcar,0.35,99,knn_k5,1.01276216686688,1.0484535800117936
