missing_frac,seed,method,nrmse
0.35,31337,dae,0.9881768158333732
0.4,123,iterativesvd,1.0609629162554393
0.4,123,dae,1.000436967598527
0.4,456,iterativesvd,1.0231122764621805
0.4,456,dae,0.9721058877026286
0.4,789,iterativesvd,1.0502008093050816
0.4,789,dae,0.9914127789545896
0.4,1024,iterativesvd,1.0406882079146025
0.4,1024,dae,0.9672126180891358
0.4,1337,iterativesvd,1.201417575277837
0.4,1337,dae,1.0176486295272351
0.4,2024,iterativesvd,1.1110819106678984
0.4,2024,dae,1.001354515889313
0.4,7,iterativesvd,1.0396914489103322
0.4,7,dae,1.0158293094249429
0.4,99,iterativesvd,1.0260774951813014
0.4,99,dae,0.990072190962499
0.4,555,iterativesvd,1.038524392863111
0.4,555,dae,1.00111951949014
0.4,31337,iterativesvd,1.1510763570671712
0.4,31337,dae,0.9956780061928748
0.45,123,iterativesvd,1.0735982398512667
0.45,123,dae,1.0066636743220163
0.45,456,iterativesvd,1.1527213008940105
0.45,456,dae,1.0027973478355885
0.45,789,iterativesvd,1.1208498410242687
0.45,789,dae,0.9981110057039396
0.45,1024,iterativesvd,1.0337143959177766
0.45,1024,dae,0.971712195520789
0.45,1337,iterativesvd,1.2951876232700612
0.45,1337,dae,1.0412292713295122
0.45,2024,iterativesvd,1.1222651529887555
0.45,2024,dae,1.001352404231814
0.45,7,iterativesvd,1.0370199026587505
0.45,7,dae,1.0165117436055844
0.45,99,iterativesvd,1.1259547633217202
0.45,99,dae,1.00270392448124
0.45,555,iterativesvd,1.062339907054082
0.45,555,dae,0.9754994886048204
0.45,31337,iterativesvd,1.1706785978580045
0.45,31337,dae,1.0099767384391245
0.5,123,iterativesvd,1.0837656196813075
0.5,123,dae,1.0009636795828227
0.5,456,iterativesvd,1.17402500102255
0.5,456,dae,1.0080044608867422
0.5,789,iterativesvd,1.0953515717993436
0.5,789,dae,0.9997098178779078
0.5,1024,iterativesvd,1.0678231673130445
0.5,1024,dae,0.974576768440538
0.5,1337,iterativesvd,1.2384360693282987
0.5,1337,dae,1.037618355016657
0.5,2024,iterativesvd,1.0775464319408223
0.5,2024,dae,1.0046153621702345
0.5,7,iterativesvd,1.0500328707364976
0.5,7,dae,1.004193626003365
0.5,99,iterativesvd,1.0943467327367178
0.5,99,dae,1.0020657169887996
0.5,555,iterativesvd,1.1285251661049023
0.5,555,dae,1.0188586693379955
0.5,31337,iterativesvd,1.1357654722337538
0.5,31337,dae,1.0090805430847607
