frac,seed,method,new,ref,delta
0.25,123,softimpute,1.0157620356133603,1.0151294391380798,0.0006325964752804669
0.25,123,masked_nmf,1.0087827432530476,1.0087827432530476,0.0
0.25,456,knn_k10,0.990602653931108,0.990602653931108,0.0
0.25,456,softimpute,0.9618163651127435,0.9646542469100357,0.0028378817972921633
0.25,456,masked_nmf,1.0226148247634665,1.0226148247634663,2.220446049250313e-16
0.25,789,knn_k10,0.9784916574603563,0.9784916574603564,1.1102230246251565e-16
0.25,789,softimpute,0.9817561912235808,0.9817898507053616,3.365948178080114e-05
0.25,789,masked_nmf,1.005161663448915,1.005161663448915,0.0
0.25,1024,knn_k10,0.9789524602972669,0.9789524602972668,1.1102230246251565e-16
0.25,1024,softimpute,0.9488344650199969,0.9478539661170892,0.0009804989029077449
0.25,1024,masked_nmf,1.0020155278037666,1.0020155278037666,0.0
0.3,123,knn_k10,1.0289618939421887,1.0290696056557298,0.0001077117135410699
0.3,123,softimpute,1.0011048837982188,1.0011253461039558,2.046230573693464e-05
0.3,123,masked_nmf,1.0170803884789845,1.0170803884789843,2.220446049250313e-16
0.3,456,knn_k10,1.0524053699752907,1.0532311822378364,0.0008258122625457442
0.3,456,softimpute,0.9660790840426513,0.964952090275603,0.0011269937670482788
0.3,456,masked_nmf,1.036012174508704,1.036012174508704,0.0
0.3,789,knn_k10,1.0032855921760124,1.0032855921760124,0.0
0.3,789,softimpute,1.0009067522514583,0.9977996262695256,0.0031071259819327457
0.3,789,masked_nmf,1.053683428635977,1.053683428635977,0.0
0.3,1024,knn_k10,1.0331124349022827,1.0331124349022829,2.220446049250313e-16
0.3,1024,softimpute,0.9702718979499453,0.9705849833411389,0.00031308539119356826
0.3,1024,masked_nmf,1.0044038686506336,1.0044038686506336,0.0
0.35,123,knn_k10,1.0342244191278112,1.0342244191278112,0.0
0.35,123,softimpute,1.0322897302664236,1.0276928649509398,0.004596865315483756
0.35,123,masked_nmf,1.0360631276233216,1.036063127623322,4.440892098500626e-16
0.35,456,knn_k10,1.029402620371525,1.0295558627434187,0.0001532423718937359
0.35,456,softimpute,0.9771843463612978,0.9879856129310431,0.010801266569745338
