method,target,target_type,regressor,cv_seed,r2,rmse
median,Protein,macro,ridge,0,0.7975478332395667,5.020337874735378
median,Protein,macro,ridge,1,0.8158992510572727,4.8667000206607245
median,Protein,macro,ridge,2,0.8233374941873048,4.801461903544126
median,Protein,macro,ridge,3,0.8098243946254996,4.7611342702476005
median,Protein,macro,ridge,4,0.8116116310416011,4.860290094769907
median,Protein,macro,knr,0,0.6342635863621278,6.933702264738955
median,Protein,macro,knr,1,0.6061070817708851,7.113350217317786
median,Protein,macro,knr,2,0.6457915811847359,6.8123339579674465
median,Protein,macro,knr,3,0.6202748151327768,6.994159445682401
median,Protein,macro,knr,4,0.6264725864823562,6.924885870284828
median,Fat,macro,rf,0,0.9473272421015129,2.86389228071654
median,Fat,macro,rf,1,0.9535233892989103,2.9355322743666545
median,Fat,macro,rf,2,0.9567912882991763,2.7781964597948785
median,Fat,macro,rf,3,0.953552285103244,2.9345496954369334
median,Fat,macro,rf,4,0.9482708285669565,3.0376440084296363
median,Fat,macro,ridge,0,0.9106961964114456,2.811711661949101
median,Fat,macro,ridge,1,0.948029553344895,2.911459130283462
median,Fat,macro,ridge,2,0.9671713259799771,2.39129582913288
median,Fat,macro,ridge,3,0.9688492561556574,2.383463326744743
median,Fat,macro,ridge,4,0.9674382713723343,2.357277448009815
median,Fat,macro,knr,0,0.6782963686189947,7.024686536066939
median,Fat,macro,knr,1,0.7553216503121536,6.737419477860611
median,Fat,macro,knr,2,0.7328509375048488,6.834749589242112
median,Fat,macro,knr,3,0.7506090628575096,6.692352756626531
median,Fat,macro,knr,4,0.7359641342177082,6.800716855530631
median,Carbohydrate,macro,rf,0,0.9184241612829276,7.056057337645041
median,Carbohydrate,macro,rf,1,0.9209995694034205,6.831706371463682
median,Carbohydrate,macro,rf,2,0.9216233016578181,6.8611392748050095
median,Carbohydrate,macro,rf,3,0.9158354113726362,7.152763123962778
median,Carbohydrate,macro,rf,4,0.9233829764017557,6.871773396386655
median,Carbohydrate,macro,ridge,0,0.9500820607652333,5.4990713045718
median,Carbohydrate,macro,ridge,1,0.936599398156616,5.998053006786847
median,Carbohydrate,macro,ridge,2,0.945481011233858,5.626262577561521
median,Carbohydrate,macro,ridge,3,0.9477538526990952,5.611788114096386
median,Carbohydrate,macro,ridge,4,0.9513167368299638,5.444833863776019
median,Carbohydrate,macro,knr,0,0.8251661891501296,10.41075941747752
median,Carbohydrate,macro,knr,1,0.8106391159179587,10.718493148590179
median,Carbohydrate,macro,knr,2,0.8040191305179782,10.974361205156347
median,Carbohydrate,macro,knr,3,0.8067156681865363,10.8875734823404
median,Carbohydrate,macro,knr,4,0.8100853158014516,10.853610116934803
median,Calcium,micro,rf,0,0.44330989276729504,248.8211750625573
median,Calcium,micro,rf,1,0.39166174872348847,242.26508742274274
median,Calcium,micro,rf,2,0.45251935552366673,238.80219288184625
median,Calcium,micro,rf,3,0.2498738485647905,248.54395190079904
median,Calcium,micro,rf,4,0.3480232560998905,252.13766135376636
median,Calcium,micro,ridge,0,0.42439128222333444,253.40219605536123
