method,target,target_type,regressor,cv_seed,r2,rmse
knn_k10,Fat,macro,ridge,4,0.9804482837477814,2.158607796773977
knn_k10,Fat,macro,knr,0,0.9573341779398726,3.3638950293769008
knn_k10,Fat,macro,knr,1,0.9570877751257001,3.363395814992137
knn_k10,Fat,macro,knr,2,0.957430724719784,3.342255403792302
knn_k10,Fat,macro,knr,3,0.9575090736089098,3.3121187852467067
knn_k10,Fat,macro,knr,4,0.9568845236284815,3.3769518726206442
knn_k10,Carbohydrate,macro,rf,0,0.9731224599117698,4.177558759391462
knn_k10,Carbohydrate,macro,rf,1,0.9738860073382096,4.145128458965372
knn_k10,Carbohydrate,macro,rf,2,0.9722941719048585,4.264873970266933
knn_k10,Carbohydrate,macro,rf,3,0.9728885473596524,4.203603404938363
knn_k10,Carbohydrate,macro,rf,4,0.9723283171405288,4.255329833144924
knn_k10,Carbohydrate,macro,ridge,0,0.9551662542834386,4.943638454187864
knn_k10,Carbohydrate,macro,ridge,1,0.9548618470646735,4.93868227683206
knn_k10,Carbohydrate,macro,ridge,2,0.9753106605527563,4.018243464176332
knn_k10,Carbohydrate,macro,ridge,3,0.9754062959019505,3.9976466568922175
knn_k10,Carbohydrate,macro,ridge,4,0.9606550027037979,4.783697416043411
knn_k10,Carbohydrate,macro,knr,0,0.9423115375924149,6.1269442403321985
knn_k10,Carbohydrate,macro,knr,1,0.942117878746717,6.1767646344098575
knn_k10,Carbohydrate,macro,knr,2,0.9415625504980122,6.182987400583714
knn_k10,Carbohydrate,macro,knr,3,0.9441283025819841,6.0501018092945476
knn_k10,Carbohydrate,macro,knr,4,0.943837526322896,6.082848860292195
knn_k10,Calcium,micro,rf,0,0.5078322392172105,134.01877889080066
knn_k10,Calcium,micro,rf,1,0.5723202503351577,130.22582302900676
knn_k10,Calcium,micro,rf,2,0.6135634952821011,125.88138422377673
knn_k10,Calcium,micro,rf,3,0.4552057187293205,144.81231775822485
knn_k10,Calcium,micro,rf,4,0.5771948235186479,127.79294973542687
knn_k10,Calcium,micro,ridge,0,-0.24729785635157167,184.13066643225721
