method,target,regressor,r2_mean,r2_std,rmse_mean
knn_k10,Protein,knr,0.8765137174911553,0.0027572736781883655,3.800114325742432
knn_k10,Protein,rf,0.9131354707189935,0.004168336109681796,3.1761985091726714
knn_k10,Protein,ridge,0.8520638109513419,0.040191567100179765,3.9283561683624924
knn_k10,Vitamin_C,knr,-0.16835761910656039,0.19898465204557506,63.680025946703076
knn_k10,Vitamin_C,rf,-0.5617993886146638,0.5872011078821534,65.71437205633956
knn_k10,Vitamin_C,ridge,-0.409929484389031,0.30791707291575354,67.10265007250149
masked_nmf,Calcium,knr,-0.01953986395872867,0.02915459586161956,199.24118842018243
masked_nmf,Calcium,rf,0.05311916661316592,0.05393099241941011,192.66737838912155
masked_nmf,Calcium,ridge,0.054946005519353816,0.004885697640083273,193.26464622961527
masked_nmf,Carbohydrate,knr,0.9992281592530267,4.428374948758482e-06,0.7115340878914314
masked_nmf,Carbohydrate,rf,0.9994321803867008,9.805622451853163e-06,0.6089007047038429
masked_nmf,Carbohydrate,ridge,0.9994748447147691,1.0938369673426278e-06,0.5856520325283551
masked_nmf,Fat,knr,0.9546848604956681,0.0011779484986562333,3.4746409599493724
masked_nmf,Fat,rf,0.9618281464590795,0.0010429859016671162,3.186827631130759
masked_nmf,Fat,ridge,0.8621853100488736,0.0006265179221634517,6.0697902147385205
masked_nmf,Iron,knr,0.06921176356368804,0.015782319380482076,5.180944101005602
masked_nmf,Iron,rf,0.15268496031277035,0.012718720991450175,4.9522053935781045
masked_nmf,Iron,ridge,0.0987951176923253,0.0022281025996503476,5.115736705042986
masked_nmf,Protein,knr,0.7465350791004413,0.00527148535379513,5.4601574767700125
masked_nmf,Protein,rf,0.7952597794327435,0.00615849504089709,4.908012525651207
masked_nmf,Protein,ridge,0.23864275216815029,0.0008741607021226927,9.471175805824801
masked_nmf,Vitamin_C,knr,-0.5536755384201666,0.3957325484775638,70.87938933275552
masked_nmf,Vitamin_C,rf,-0.4165489500578972,0.40881236462569887,68.11039658656671
masked_nmf,Vitamin_C,ridge,0.006397864188661333,0.009755514261215495,62.66125821960004
mean,Calcium,knr,0.5119294275542841,0.024295816160831415,140.15154741237987
mean,Calcium,rf,0.5541805175600624,0.06446234069526621,131.135161340633
mean,Calcium,ridge,-0.31512839818213,0.35066723946010947,194.75691066405543
mean,Carbohydrate,knr,0.9422674805621403,0.0014185338659566539,6.152504818923154
mean,Carbohydrate,rf,0.9736305482789518,0.000511728523383486,4.148031804016056
mean,Carbohydrate,ridge,0.9570637641390082,0.003344238891150155,4.9206470306578804
mean,Fat,knr,0.9554144762107202,0.0007263258864061817,3.42389284766801
mean,Fat,rf,0.9927967181686099,0.0001313234493076016,1.380272066043804
mean,Fat,ridge,0.9773189734320151,0.0020968467190047024,2.2447253120852286
mean,Iron,knr,0.6039632133315258,0.006012506276427103,3.381482252539629
mean,Iron,rf,0.6027088948812088,0.016036954694078016,3.387702983215662
mean,Iron,ridge,0.27858764373000083,0.04289036182686317,4.535700002042375
mean,Protein,knr,0.8688896396894805,0.003033102814374901,3.918854691517434
mean,Protein,rf,0.9126619619982153,0.0020358874529292138,3.1886714913522116
mean,Protein,ridge,0.8434315426699814,0.026060389724788132,4.059365138307911
mean,Vitamin_C,knr,-0.21513474246097855,0.26188991445325144,63.80265701339757
mean,Vitamin_C,rf,-0.3047416368652955,0.350117947876453,62.900083396962465
mean,Vitamin_C,ridge,-0.9169600515932406,0.6859991171803117,73.06941551485599
median,Calcium,knr,0.5112184032096562,0.02288494311136071,140.23261119957525
median,Calcium,rf,0.548885850647115,0.06922689768610535,131.69508028062722
median,Calcium,ridge,-0.3168513131224824,0.35080438065824393,194.82588908380657
median,Carbohydrate,knr,0.9411392069028028,0.0014552314978883345,6.210418883596963
median,Carbohydrate,rf,0.9741499532450868,0.0007873004977145142,4.106012429513574
median,Carbohydrate,ridge,0.955301749680344,0.0035150178937492734,4.982308045098496
median,Fat,knr,0.9559646840542021,0.0006211602023484874,3.4023068084316876
median,Fat,rf,0.9928498944489746,0.0001498598904986597,1.375249497320802
median,Fat,ridge,0.9766439565325437,0.002165017155500654,2.264621833794698
median,Iron,knr,0.5972918411751842,0.006913567535251155,3.4080059007442287
median,Iron,rf,0.6009254527665636,0.015739736154196847,3.3946078898017538
median,Iron,ridge,0.2804427434771257,0.040795079477278125,4.531239813905958
median,Protein,knr,0.8688661243820672,0.002796183800605399,3.919072509809433
median,Protein,rf,0.9115197763567424,0.003094230681345614,3.2080812578217186
median,Protein,ridge,0.8341235289832074,0.028011268431686078,4.13487151369986
median,Vitamin_C,knr,-0.15196461938575848,0.22056804741625732,63.34763004579382
median,Vitamin_C,rf,-0.3472741220620259,0.3830397341792893,63.389282971753076
median,Vitamin_C,ridge,-0.8807007938620718,0.646113267151054,72.72484694513925
mice,Calcium,knr,0.5288049379197771,0.02588433302856763,137.61405211828097
mice,Calcium,rf,0.5665090571401821,0.06287108884392367,129.05384228411236
mice,Calcium,ridge,0.2026033473805275,0.17657700891442377,163.7726055003809
mice,Carbohydrate,knr,0.943581843889941,0.0014912108140196568,6.082791602091184
